query,intent
asking to increase fruit in orange,15. Agrochemical
asking about fertilizer dose,15. Agrochemical
asking about fertilizer dose of mustard,15. Agrochemical
asking about fruit and shoot borer,15. Agrochemical
asking about the fertilizer doses in mustard,15. Agrochemical
asking about the fertilizer doses in groundnut,15. Agrochemical
asking fertiliser dose of mustard,15. Agrochemical
asking about varieties of boro pady,15. Agrochemical
asking about cultural practices of cauliflower,15. Agrochemical
asking about control measure of fruit fly,15. Agrochemical
asking about the water stagnation in cauliflower,15. Agrochemical
asking about the fertilizer dose of brinjal,15. Agrochemical
query regarding vitamins in mustard,15. Agrochemical
asking about fertilizer dose,15. Agrochemical
asking about pre emergence herbicide,15. Agrochemical
query regarding liming in pond,15. Agrochemical
asking about cultivation practices of groundnut,15. Agrochemical
asking about the fertilizer requirement in one bigha of boro rice.,15. Agrochemical
query regarding to control diseases in beans and to control insects in chilly,15. Agrochemical
call related to agriculture,15. Agrochemical
asking about control measure of caterpillar,15. Agrochemical
asking about the control of cut worms in potato,15. Agrochemical
query regarding spacing and nutrient management in papaya,15. Agrochemical
query regarding boro dhan,15. Agrochemical
asking about application of fungicide in seed bed,15. Agrochemical
asking about cultural practices of groundnut,15. Agrochemical
asking about the cultural practices of groundnut,15. Agrochemical
micro nutrient deficiency.,15. Agrochemical
query regarding infection in goat,15. Agrochemical
asking about cultural practices of papaya,15. Agrochemical
qery regarding shell formation of a hen,15. Agrochemical
asking about viral infection in potato,15. Agrochemical
asking for use of growth promoter in mustard,15. Agrochemical
asking about the fertilizer doses in french bean,15. Agrochemical
query regarding biofertilizer,15. Agrochemical
asking about the nutrient management in pumpkin,15. Agrochemical
asking about the control measure for white mould in french bean,15. Agrochemical
query regarding some  piglet,15. Agrochemical
call related to agriculture,15. Agrochemical
call related to agriculture,15. Agrochemical
query regarding seedling of boro rice,15. Agrochemical
query reggarding delay in egg laying of some layers,15. Agrochemical
asking about veterinary quires,15. Agrochemical
asking about cultural practices of papaya,15. Agrochemical
asking about the control of fruit and shoot borer in brinjal,15. Agrochemical
asking about pumpkin query,15. Agrochemical
query regardig diarrhoea of some piglet after use of anthalmintic,15. Agrochemical
asking for growth hormone for tomato,15. Agrochemical
call related to fishery,15. Agrochemical
asking about the nutrient management in brinjal,15. Agrochemical
asking about fertilizer dose of boro rice,15. Agrochemical
asking about vitamin in potato,15. Agrochemical
asking about transplanting time of boro rice,15. Agrochemical
nutrient deficiency in mustard.,15. Agrochemical
asking about fertilizer requirement in mustard,15. Agrochemical
query regarding crop booster in potato,15. Agrochemical
query regarding formation of abnoxious gas formation in pond bed,15. Agrochemical
asking about control measure aphid,15. Agrochemical
asking about the control measure of powdery mildew of papaya,15. Agrochemical
query regarding infection in some local chicken,15. Agrochemical
asking about vitamin in brinjal,15. Agrochemical
asking about application of pesticide,15. Agrochemical
query regarding failure in displaying of message send by fta to the farmer,15. Agrochemical
query regarding pregnency period of cattle,15. Agrochemical
query regarding spacing and fertilizer dose of arecanut,15. Agrochemical
query regarding to control aphids in potato,15. Agrochemical
asking about cultural practices of banana,15. Agrochemical
asking about the nutrient management in brinjal,15. Agrochemical
asking about growth hormone in citrus,15. Agrochemical
asking about the fishery,15. Agrochemical
asking about the fertilizer doses in coconut,15. Agrochemical
asking about zinc sulfate requirement in rice field,15. Agrochemical
query regarding  jerking of limb  a cow which is in recumbent position,15. Agrochemical
asking about the control of rats in potato,15. Agrochemical
asking about micronutrient dose to be applied in pea,15. Agrochemical
asking about the nutreint management in watermelon,15. Agrochemical
asking about the fertilizer doses and nutrient management in coconut,15. Agrochemical
asking about cultural practices of cucumber,15. Agrochemical
asking about fertilizer dose of okra,15. Agrochemical
nutrient deficiency of banana.,15. Agrochemical
asking about the fertilizer doses in rice,15. Agrochemical
want to know root treatment of paddy seedlings,15. Agrochemical
query regarding root dip treatment in rice,15. Agrochemical
query regarding liming in pond,15. Agrochemical
asking about the control measure of red ant in cabbage,15. Agrochemical
asking about cultural practices of banana,15. Agrochemical
asking about control measure of aphids and rooting hormone in rose,15. Agrochemical
asking about the control of downy mildew in cowpea,15. Agrochemical
asking about the control of fruit fly in pumpkin,15. Agrochemical
asking about the fertilizer dose of boro paddy,15. Agrochemical
asking about the fertilizer dose in coconut,15. Agrochemical
query regarding antranose of chilly,15. Agrochemical
query regarding  debility of a cow,15. Agrochemical
query regarding feeding habit of rabbit,15. Agrochemical
query regarding feeding habits of rabbit,15. Agrochemical
query regarding debility of some capra hircus,15. Agrochemical
query regarding coconut fertilizer dose,15. Agrochemical
asking about the control of fruit fly in ridgegourd,15. Agrochemical
asking about control measure of fruit fly,15. Agrochemical
asking about the nutreint management in pumpkin,15. Agrochemical
asking about the nutrient management in litchi,15. Agrochemical
query regarding premature falling of watermillon bud,15. Agrochemical
query regarding suspected crd infected,15. Agrochemical
asking about fertilizer dose of ridge gourd,15. Agrochemical
asking about fertilizer dose of ridge gourd,15. Agrochemical
asking about the control of mites in bittergourd,15. Agrochemical
asking about the fertilizer dose for potato.,15. Agrochemical
asking about cultural practices of cucumber and pit size for papaya cultivation,15. Agrochemical
query regarding to control stem borer in rice,15. Agrochemical
asking about trunk borer problem in citrus,15. Agrochemical
query regarding mushroom cultivation,15. Agrochemical
asking about the nutrient management in brinjal,15. Agrochemical
asking about aphid problem in capsicum,15. Agrochemical
asking about fertilizer dose of tomato,15. Agrochemical
query regarding antracnose of capsicum,15. Agrochemical
query regarding fertiliser dose in tomato,15. Agrochemical
asking about cultural practices of arecanut,15. Agrochemical
asking about cultural practices of cucumber,15. Agrochemical
asking about duration of arize 6444,15. Agrochemical
asking about the control measure of stem borer in paddy,15. Agrochemical
asking about carp culture,15. Agrochemical
asking about lime and fertilizer does in fish culture,15. Agrochemical
top dressing in cucumber,15. Agrochemical
asking about the control measure rodent in rice field,15. Agrochemical
asking about nutrient management in boro rice,15. Agrochemical
query regarding micronutrient in rice,15. Agrochemical
asking about control of damping off in tomato,15. Agrochemical
asking about the poultry,15. Agrochemical
asking about cultivation practices of marigold,15. Agrochemical
asking about the control of white grub in rice,15. Agrochemical
control of stem borer in paddy,15. Agrochemical
asking about control measure of stem borer in rice,15. Agrochemical
asking about control measure of stem borer in boro rice,15. Agrochemical
asking about the nutreint management in cucumber,15. Agrochemical
control of weeds in standing ahu paddy,15. Agrochemical
asking about vitamin name in nursery pond,15. Agrochemical
asking about nutrient application,15. Agrochemical
asking about control measure of damping off cabbage,15. Agrochemical
asking about the vetenery,15. Agrochemical
query regarding application of fertilizer and micronutrients in tomato.,15. Agrochemical
query regarding control of rust in bitter gourd,15. Agrochemical
query regarding to control insects in ridge gourds,15. Agrochemical
feed for fishes,15. Agrochemical
asking about stem borer problem in rice,15. Agrochemical
asking about anthracnose in cucumber,15. Agrochemical
asking about the application of fertilizer in tomato .,15. Agrochemical
asking about cultural practices of chili,15. Agrochemical
asking about the control of yellow stem borer in rice,15. Agrochemical
asking about carp management,15. Agrochemical
asking about the fertilizer dose for king chilli.,15. Agrochemical
asking about control measure of caterpillar,15. Agrochemical
asking about the control of yellow stem borer in rice,15. Agrochemical
asking about the control of blb in rice,15. Agrochemical
asking about vitamin application in pumpkin,15. Agrochemical
asking about the control of fruit fly in pumpkin,15. Agrochemical
query regarding control measure of yellow stem borer in rice,15. Agrochemical
query regarding floweer drop in mango,15. Agrochemical
asking about the fertilizer doses in ridgegourd,15. Agrochemical
askingf about top dressing in ridge gourd,15. Agrochemical
query regarding saw flies in bittergourd,15. Agrochemical
asking about control measure of aphid,15. Agrochemical
asking about control measure of aphid,15. Agrochemical
asking about the control of fruit fly in cucumber,15. Agrochemical
asking about poisoning in fish pond,15. Agrochemical
asking about poisonig in fish pond,15. Agrochemical
asking about the fertilizer doses in spine gourd,15. Agrochemical
control measure of turbidity,15. Agrochemical
asking about mortality of fish for poisoning,15. Agrochemical
asking about control of stem borer in rice,15. Agrochemical
query regarding  goat farm,15. Agrochemical
asking about control measure of rice hispa,15. Agrochemical
query regarding  a bullock,15. Agrochemical
query regarding to control gundhi bug in rice,15. Agrochemical
asking for control of fruit fly in pumpkin,15. Agrochemical
asking about veterinary quires,15. Agrochemical
query regarding to control fruit and shoot borer in chilly,15. Agrochemical
asking about nutrient management in cucumber,15. Agrochemical
asking about the japanise rice,15. Agrochemical
asking about the control of black ant in orange,15. Agrochemical
asking about the control of powdery mildew in ash gourd,15. Agrochemical
query regarding control of gundhi bug in rice,15. Agrochemical
asking about the nutrient management in sponge gourd,15. Agrochemical
rice stem borer,15. Agrochemical
query regarding control of insects in pumkin,15. Agrochemical
asking about the control of cracking of fruit in brinjal,15. Agrochemical
query regarding to control flies in chilly,15. Agrochemical
query regarding control borer in brinjal,15. Agrochemical
query regarding control of borer in brinjal,15. Agrochemical
query regarding   kiding of a she goat,15. Agrochemical
query regarding  a new born calf,15. Agrochemical
asking about micronutrient application in ridge gourd,15. Agrochemical
asking about micronutrient applicatio in ridg gourd,15. Agrochemical
asking about the control of gandhi bug in rice,15. Agrochemical
asking about the nutrient management in litchi,15. Agrochemical
asking about control measure of leaf spot,15. Agrochemical
query regarding control of fruit and shoot borer in chilly,15. Agrochemical
asking about rust in sponge gourd,15. Agrochemical
asking about veterinary quires,15. Agrochemical
asking about fertilizer and lime does in fish pond,15. Agrochemical
nutrient deficiency in bottle gourd,15. Agrochemical
asking about fishery quires,15. Agrochemical
query regarding  infection in some broiler showing the signs os slight whitish diarrhoea,15. Agrochemical
asking about control measure of aphid,15. Agrochemical
asking about control of aphids in ridge gourd,15. Agrochemical
asking about dose of celcron in ridge gourd,15. Agrochemical
asking about the control of insects in sponge gourd,15. Agrochemical
asking about carp feeding habit,15. Agrochemical
asking about control measure of fruit fly,15. Agrochemical
asking about control measure of stem borer,15. Agrochemical
asking about dose of insecticide in ridge gourd,15. Agrochemical
asking about control of nematode and fruit scattering bittle in banana,15. Agrochemical
asking about control measure of anthracnose,15. Agrochemical
asking about the fertilizer doses in papaya,15. Agrochemical
asking about lime and fertilizer does in fish pond,15. Agrochemical
control of fruit fly in pumpkin,15. Agrochemical
asking about lime and fertilizer does and stocking density,15. Agrochemical
query regarding ome ducklings,15. Agrochemical
asking about control of fruit fly in ridge gourd,15. Agrochemical
query regarding to control scale insects in lemon,15. Agrochemical
call related to agriculture,15. Agrochemical
query regarding to control gundhi bug in rice,15. Agrochemical
asking about the control of fruit fly in ash gourd,15. Agrochemical
asking about the nutrient management in rice,15. Agrochemical
query regarding to control thrips in chilly,15. Agrochemical
asking about the medicine parachlor,15. Agrochemical
query regarding liming in pond,15. Agrochemical
asking about control measure of rat,15. Agrochemical
asking about the control of downy mildew in ridgegourd,15. Agrochemical
control of fruit fly in ridge gourd,15. Agrochemical
asking about control of fungal infection on betelvine,15. Agrochemical
asking about the nutrient management in bhindi,15. Agrochemical
query regarding liming in pond,15. Agrochemical
asking about growth hormone in pointed gourd,15. Agrochemical
asking about the bitterness in ridgegourd,15. Agrochemical
asking about sali paddy,15. Agrochemical
asking for control of fruit fly in ridge gourd,15. Agrochemical
asking about the nutrient management in coconut and fertilizer doses in coconut,15. Agrochemical
asking about the control of buncy top virus in banana,15. Agrochemical
asking about the cultural practices in arecanut,15. Agrochemical
asking about control measure of gumosis,15. Agrochemical
asking about the strawberry,15. Agrochemical
query regarding fertiliser dose of sali rice,15. Agrochemical
lime dose for pond,15. Agrochemical
asking about trunk borer infestation in lemon,15. Agrochemical
asking about vitamin in spine gourd,15. Agrochemical
asking about lime and fertilizer does in fish pond,15. Agrochemical
asking about fungal infection,15. Agrochemical
asking about the control of fruit fly in ridgegourd,15. Agrochemical
asking about the fishery,15. Agrochemical
control measure of low dissolve oxygen,15. Agrochemical
control measure of low dissolve water,15. Agrochemical
asking about the nutrient management in coconut,15. Agrochemical
asking about control measure of fruit fly,15. Agrochemical
query regarding dung of a cow carring fowl odour,15. Agrochemical
asking about control measure stem borer,15. Agrochemical
feed for fishes,15. Agrochemical
query regarding to control red ants in insects,15. Agrochemical
asking for control of anthracnose in chilli,15. Agrochemical
query regarding to control whit fly in chilly,15. Agrochemical
asking about control measure of leaf spot,15. Agrochemical
control measure fruit fly in ridge gourd,15. Agrochemical
asking about the nutrient management and gumosis in papaya,15. Agrochemical
query regarding  some piglet,15. Agrochemical
asking about immature falling of nut,15. Agrochemical
feed for spawn,15. Agrochemical
asking about fertilizer dose,15. Agrochemical
asking about the nutreint managment in lemon,15. Agrochemical
asking about the fertilizer doses in coconut,15. Agrochemical
asking about mortality of fish for poisoning,15. Agrochemical
hormone deficiency,15. Agrochemical
asking about combine application of micronutrient and insecticide together,15. Agrochemical
query regarding  some piglet,15. Agrochemical
asking about nutrient of tuurmeric,15. Agrochemical
asking about fishery quires,15. Agrochemical
asking about the nutrient management in spinegourd,15. Agrochemical
asking about weedicide application in citrus,15. Agrochemical
query regarding honey bee,15. Agrochemical
asking about lime and fertilizer does in fish pond,15. Agrochemical
asking about lime and fertilizer does in fish pond,15. Agrochemical
feed for fishes,15. Agrochemical
asking about fertilizer dose,15. Agrochemical
query regarding control measure of yellow stem borer in rice,15. Agrochemical
asking about lemon trunk borer problem,15. Agrochemical
feed for fishes,15. Agrochemical
asking about control of stem borer in rice,15. Agrochemical
asking about pgr application in ridge gourd,15. Agrochemical
asking about control measure of fruit fly,15. Agrochemical
asking about the vetenery,15. Agrochemical
query regarding schemes,15. Agrochemical
query regarding piggery,15. Agrochemical
asking about the control of insects in coconut,15. Agrochemical
asking about the fertilizer doses in coconut,15. Agrochemical
asking about fish mortility reason,15. Agrochemical
asking about the application of fertilizer in chiili.,15. Agrochemical
asking about nutrient dose in chilli,15. Agrochemical
query regarding fertiliser dose in sali rice,15. Agrochemical
query regarding pig farm,15. Agrochemical
query regarding piggery,15. Agrochemical
feed for fishes,15. Agrochemical
asking about the different medicines,15. Agrochemical
asking about control of fruit fly in citrus,15. Agrochemical
asking about the fishery,15. Agrochemical
asking about fishery  quires,15. Agrochemical
asking about the control of rats in sugarcane,15. Agrochemical
query regarding to control stem borer in rice,15. Agrochemical
control measure of algal bloom,15. Agrochemical
control measure of algal bloom,15. Agrochemical
query regarding to control insects in lemon,15. Agrochemical
query regarding broiler m vaccination,15. Agrochemical
asking about control of stem borer in rice,15. Agrochemical
feed for fishes,15. Agrochemical
query regarding lameness of a cow,15. Agrochemical
query regarding lameness of a cow,15. Agrochemical
query regarding to control yellow stem borer in rice,15. Agrochemical
asking about fertilizer dose in pumpkin,15. Agrochemical
asking about the control of rice hispa,15. Agrochemical
asking about the fertiizer doses in rice,15. Agrochemical
asking about fertlizer dose in rice,15. Agrochemical
query regarding piggery,15. Agrochemical
asking about the control of yellow stem borer in rice,15. Agrochemical
asking about control measure of stem borer,15. Agrochemical
asking about control measure of stem borer,15. Agrochemical
lime dose,15. Agrochemical
asking about the nutrient management in rice,15. Agrochemical
asking about the fishery,15. Agrochemical
control measure of deteriorated water,15. Agrochemical
asking about the fishery,15. Agrochemical
asking about veterinary quires,15. Agrochemical
asking about fishery quires,15. Agrochemical
query regarding some pig,15. Agrochemical
query regarding diarrhoea  of  a cow,15. Agrochemical
asking about top dressing of urea and control of leaf eating caterpillar,15. Agrochemical
call related to fishery,15. Agrochemical
asking for red spidermite,15. Agrochemical
asking about spliting of banana fruit,15. Agrochemical
asking about the control of downy mildew in bottlegourd,15. Agrochemical
asking about rice hispa control,15. Agrochemical
asking about low growth of fish and problem of green algal bloom,15. Agrochemical
asking about stem borer problem in rice,15. Agrochemical
asking about the control of rice stem borer,15. Agrochemical
asking about control of stem borer in rice,15. Agrochemical
asking about mortality of fish due to depletion of oxygen in the water,15. Agrochemical
asking about mortality of fish due to depletion of oxygen,15. Agrochemical
asking about correction of water quality,15. Agrochemical
asking about fertilizer dose in rice,15. Agrochemical
asking about dose of paddy special in rice,15. Agrochemical
asking about the control of rats in rice field,15. Agrochemical
call related to fishery,15. Agrochemical
query regarding fever of  of a pig,15. Agrochemical
query regarding goatery,15. Agrochemical
asking about correction of algal bloom in pond water,15. Agrochemical
asking about low growth rate of fish,15. Agrochemical
asking about the fishery,15. Agrochemical
query regarding a  pig,15. Agrochemical
asking about varieties of cabbage and cauliflower,15. Agrochemical
asking about veterinary quires,15. Agrochemical
query about pig varieties,15. Agrochemical
asking about control of fungal infection in bottle gourd,15. Agrochemical
asking about nutrient dose and spacing of coconut,15. Agrochemical
asking about the pond management of fish pond,15. Agrochemical
query regarding swine fever,15. Agrochemical
asking about cultural practices of ber,15. Agrochemical
asking about control damping off in cauliflower and flower initition in bottle gourd,15. Agrochemical
asking about of femaleness in papaya,15. Agrochemical
query regarding  colstrum feeding,15. Agrochemical
asking about control of white fly in brinjal,15. Agrochemical
asking about the seed rate of rice,15. Agrochemical
asking about control measure for flower dropping in coconut,15. Agrochemical
asking about control measure of damping off in vegetable,15. Agrochemical
asking about control of fruit fly in bottle gourd,15. Agrochemical
asking about fertilizer dose of coconut ,15. Agrochemical
asking about the fertilizer doses in potato,15. Agrochemical
asking about the seed treatment in tomato seeds,15. Agrochemical
asking about the fertilizer doses in coconut,15. Agrochemical
asking about control of mealy bug in citrus,15. Agrochemical
asking about control of ants and also asked about mortality of fish in pond due to high organic load,15. Agrochemical
asking the  measure to control weeds,15. Agrochemical
asking about fertilizer application in potato,15. Agrochemical
asking about pond fertilization,15. Agrochemical
asking about control of whitefly in pumpkin,15. Agrochemical
asking about the control of insect attack in chilli,15. Agrochemical
asking about control measure of powdery mildew and caterpillar,15. Agrochemical
asking for control of aphid,15. Agrochemical
asking about control measure of damping off in vegetable,15. Agrochemical
asking about control measure of damping off in cabbage,15. Agrochemical
asking for some bio fertilizer.,15. Agrochemical
asking about the fertilizer doses in mustard,15. Agrochemical
asking about the fertilizer requirement of tomato.,15. Agrochemical
asking about fertilizer dose of mustard.,15. Agrochemical
asking about fertilizer dose of mustard,15. Agrochemical
asking about the fertilizer doses in coconut,15. Agrochemical
asking about varieties of black papper,15. Agrochemical
asking fertilizer dose of mustard,15. Agrochemical
asking about fertilizer dose in mustard,15. Agrochemical
asking about the micro nutrient use in knol khol,15. Agrochemical
asking about nutrient management of mustard,15. Agrochemical
asking about the control of fruit fly in bitter gourd,15. Agrochemical
asking about the micro nutrient use in bitter gourd,15. Agrochemical
asking about control of caterpillar,15. Agrochemical
asking about vitamin to be applied in potato,15. Agrochemical
asking about the fertilizer doses in pumkin,15. Agrochemical
asking about the cultivation of potato,15. Agrochemical
asking about immature falling of flower,15. Agrochemical
asking about application of fertilizer in tomato ,15. Agrochemical
askinga about miconutrients application,15. Agrochemical
asking about nutrient management in tomato,15. Agrochemical
blan,15. Agrochemical
asking about control of stored gain pest,15. Agrochemical
query regarding the control of damping off in cabbage,15. Agrochemical
asking about fertilizer dose of coconut ,15. Agrochemical
asking about the control of leaf eating cater pillar in potato,15. Agrochemical
asking about spacing of ground nut,15. Agrochemical
asking about eus treatment in fish pond,15. Agrochemical
asking about control  aphid in black gram,15. Agrochemical
asking about nutrient management of french bean,15. Agrochemical
asking about vitamin for pumkin,15. Agrochemical
asking about the weater report,15. Agrochemical
asking about the micro nutrient use in pumkin,15. Agrochemical
asking about the micro nutrient use in bean,15. Agrochemical
asking about control measure of insect attack in potatao,15. Agrochemical
asking for the time of spraying of vitamin in pumpkin,15. Agrochemical
asking about the foliar spray in tomato,15. Agrochemical
asking about control of aphids in  mustard,15. Agrochemical
asking about diarrhoea of piglet,15. Agrochemical
asking about infertility of heifer,15. Agrochemical
asking about control measure of fungal attack in potato,15. Agrochemical
asking about control measure of termite attack in potato,15. Agrochemical
asking about prevention of diseases,15. Agrochemical
asking about the control of nutrient deficiency.,15. Agrochemical
asking for the dose of vipul,15. Agrochemical
asking about control measure of caterpillar,15. Agrochemical
asking about white diarrhoea,15. Agrochemical
asking about cultural practices,15. Agrochemical
askinga  about  fertilizer dose in bodo dhan,15. Agrochemical
asking about the fertilizer requirement in lemon.,15. Agrochemical
asking about fertilizer dose of brinjal,15. Agrochemical
asking about amount of zinc sulphate in boro rice,15. Agrochemical
asking about control measure of insect attack in chilli,15. Agrochemical
asking about vitamin for lemon,15. Agrochemical
asking for the fertilizer dose of paddy,15. Agrochemical
asking about the control of fruit fly in pumpkin,15. Agrochemical
asking about polythene for poly house,15. Agrochemical
asking about nutrient management in king chilli.,15. Agrochemical
asking for the nutrient management of coconut,15. Agrochemical
asking about strawberry cultivation in lakhimpur,15. Agrochemical
asking about fertilizer application of boro rice ,15. Agrochemical
asking about the fertilizer doses in coconut,15. Agrochemical
asking about pm kisan samman nidhi,15. Agrochemical
asking for the fertilizer dose of coconut,15. Agrochemical
asking about website of pmkisan,15. Agrochemical
asking about the fertilizer doses in bhindi and ridgegourd,15. Agrochemical
asking about  nitrogen deficiency in bitter gourd,15. Agrochemical
asking about control measure of chilli,15. Agrochemical
asking about control measure of paddy stem borer,15. Agrochemical
asking about lacking of flower in pumpkin,15. Agrochemical
asking for the fertilizer dose of ginger,15. Agrochemical
asking about lacking of flower in pumpkin,15. Agrochemical
asking about control measure of flower dropping in citrus,15. Agrochemical
asking about control of insects in tomato,15. Agrochemical
call related to horticulture,15. Agrochemical
asking about fertilizer dose of ridge gourd.,15. Agrochemical
asking about the fertilizer dose of cucumber.,15. Agrochemical
asking about fertilizer application in pond,15. Agrochemical
asking about control of leaf eating caterpillar in bhendi,15. Agrochemical
asking about nutrient management in ridge gourd,15. Agrochemical
how much  days takes for papaya  seed germination,15. Agrochemical
asking for the portal of registering pm kisan,15. Agrochemical
asking about name of vitamin to apply in ridge gourd,15. Agrochemical
asking about control measure of rotting of pumpkin,15. Agrochemical
asking about control measure of trunk borer in citrus,15. Agrochemical
asking about species to cultured in composite fish culture,15. Agrochemical
asking about nutrient management in coconut,15. Agrochemical
asking for the fertilizer dose of coconut and khasi mandarin,15. Agrochemical
asking about deworming of goat,15. Agrochemical
asking about  control measure of insect in citrus,15. Agrochemical
asking about fertilizer dose  of lemon ,15. Agrochemical
asking for increasing number of flower,15. Agrochemical
asking about micro nutrient application in ash gourd.,15. Agrochemical
asking for the control of insect attack in lemon,15. Agrochemical
asking about bacterial leaf spot chilli,15. Agrochemical
asking about fruit fly,15. Agrochemical
asking about the fertilizer requirement in papaya.,15. Agrochemical
asking about fruiting of chilli,15. Agrochemical
asking about tea plantation material,15. Agrochemical
asking about control measure of leaf miner of sponge gourd,15. Agrochemical
asking about seed bed preparation of papaya,15. Agrochemical
asking about control measure of powdery mildew,15. Agrochemical
asking for the contact person for green house manufacture,15. Agrochemical
asking about fertilizer dose in ridge gourd,15. Agrochemical
asking about the fertilizer recommendation in apple.,15. Agrochemical
asking about the spine gourd nutrient management ,15. Agrochemical
asking about vitamin for chilli,15. Agrochemical
asking about pit filling,15. Agrochemical
asking about treatment of bad water quality,15. Agrochemical
asking about biofertilizer application in chilli,15. Agrochemical
asking about type of soil require in chilli cultivation,15. Agrochemical
asking about the government schemes regarding poly house for tomato cultivation,15. Agrochemical
asking for the name of vitamin in bhindi,15. Agrochemical
asking about vitamin application bottle gourd,15. Agrochemical
asking about the control obnoxious gases in fish pond,15. Agrochemical
asking about control of leaf eating caterpillar,15. Agrochemical
asking about the nutrient management in rice ,15. Agrochemical
asking about control measure of aphid attack in citrus,15. Agrochemical
asking about varieties of rice,15. Agrochemical
asking about application of alum in fish pond,15. Agrochemical
asking about application of toximer in fish pond,15. Agrochemical
asking about diarrhea,15. Agrochemical
asking about control measure of anthracnose,15. Agrochemical
asking about control of wilting in tomato and ridge gourd,15. Agrochemical
asking about pond management,15. Agrochemical
asking about control of aphids in chilli,15. Agrochemical
asking about the fertilizer doses in mango,15. Agrochemical
asking about fungal rotting in chillies,15. Agrochemical
asking about pis size of cashew,15. Agrochemical
asking about the control of blast in paddy,15. Agrochemical
asking about pond management,15. Agrochemical
asking about the fertilizer doses in mango,15. Agrochemical
asking about control of stored grain pest,15. Agrochemical
asking about dose of mahafal in chillies,15. Agrochemical
asking about the nursery management of papaya in poly bags,15. Agrochemical
asking about blue colour water in fish pond,15. Agrochemical
asking for sms,15. Agrochemical
"asking about the reduced number of fruiting of ash gourd
",15. Agrochemical
asking about the insect problem of ash gourd,15. Agrochemical
asking about deworming,15. Agrochemical
asking about the fruit and shoot borer of lemon,15. Agrochemical
asking about the fruit and trunk borer problem in assam lemon,15. Agrochemical
asking about the fertilizer requirement in bottle gourd.,15. Agrochemical
asking for control for gundhi bug in rice,15. Agrochemical
asking about the cultural practices of pointed gourd,15. Agrochemical
asking about availability of mushroom sponge in lakhimpur district,15. Agrochemical
asking about the caterpillar problem in tea,15. Agrochemical
asking about fertilizer dose ,15. Agrochemical
asking about control measure of fruit fly,15. Agrochemical
asking about fertilizer dose in papaya,15. Agrochemical
asking about control measure gummosis in pointed gourd,15. Agrochemical
asking about the insect problem in lemon,15. Agrochemical
"asking about fertilizer dose of rice, about rice weedicide",15. Agrochemical
asking about pm kisan,15. Agrochemical
asking about the fertilizer dose of paddy,15. Agrochemical
asking about the mop for paddy,15. Agrochemical
asking about fertilizer application in sali paddy.,15. Agrochemical
asking about fertilizer dose ,15. Agrochemical
"asking about control of stem borer in paddy
",15. Agrochemical
asking about black colour in fish pond,15. Agrochemical
asking about eradication of green algal mat in the pond,15. Agrochemical
asking about green algal mat bloom in the fish pond,15. Agrochemical
asking about control powdery mildew in ridge gourd,15. Agrochemical
asking about appearance of eus or ulcer in fish,15. Agrochemical
asking about control of rice hispa,15. Agrochemical
asking about pradhan mantri fasal bima yojana,15. Agrochemical
asking about the insect problem in paddy,15. Agrochemical
asking about control of rice hispa,15. Agrochemical
asking about nutrient application in chilli in nursery.,15. Agrochemical
asking about horticulture mission registration,15. Agrochemical
asking about control measure of aphid in citrus,15. Agrochemical
asking about registration for nhm schemes,15. Agrochemical
asking about micro-nutrient application in bitter gourd,15. Agrochemical
asking about ai of doe,15. Agrochemical
asking about pm kisan,15. Agrochemical
asking about pm kisan samman nidhi,15. Agrochemical
asking about fishery,15. Agrochemical
asking about pm kisan man dhan yojana,15. Agrochemical
asking about the pm kisan maan dhan yojana,15. Agrochemical
asking about the pm kisan maan dhan yojana,15. Agrochemical
asking about pm kisan man dhan yojana,15. Agrochemical
asking about pm kisan man dhan yojana,15. Agrochemical
asking about the pm kisan maan dhan yojana,15. Agrochemical
asking about pm kisan maan dhan yojana,15. Agrochemical
asking about pm kisan maan dhan yojna,15. Agrochemical
asking about pm kisan man dhan yojana,15. Agrochemical
asking about the fertilizer dose of coconut and rice varieties,15. Agrochemical
asking about pm kisaan man dhan yojana,15. Agrochemical
asking about control of fungal infection in ridge gourd,15. Agrochemical
asking about dose of elpis contact fungicide ,15. Agrochemical
asking about pm kisan maan dhan yojana,15. Agrochemical
asking about pm kisan man dhan yojana,15. Agrochemical
asking about the pm kisan maan  dhan yojana,15. Agrochemical
asking about the pm kisan maan dhn yojana,15. Agrochemical
asking about pm kisan maan dhan yojana,15. Agrochemical
asking about pm kisan man dhan yojana,15. Agrochemical
asking about pm kisan man dhan yojana,15. Agrochemical
asking about mobile helotune,15. Agrochemical
asking about micro nutrient application,15. Agrochemical
asking about pm kisan maan dhan yojana,15. Agrochemical
asking about pm kisan maan dhan yojana,15. Agrochemical
asked about varieties of black gram and green gram and their fertilizer doses. ,15. Agrochemical
asking about light management of quails,15. Agrochemical
asking about pm kisan man dhan yojana,15. Agrochemical
"asking about fertilizer application in coconut.	",15. Agrochemical
asking about pm kisan maan dhan yojana,15. Agrochemical
asked about the rainy conditions for the following days,15. Agrochemical
asked about vitamin supplement,15. Agrochemical
asking about pm kisan maan dhan yojana,15. Agrochemical
asking about seed rate of black gram,15. Agrochemical
"asking about the nutrient management for the paddy	",15. Agrochemical
asking filler super insecticide,15. Agrochemical
asked about green leaf hopper control in rice,15. Agrochemical
asking about the insect infestation in radish,15. Agrochemical
